,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent
32,16,33,noise15,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",2.07974,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]]",10100110101000011,1010011010100001
33,16,34,noise15,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",2.09705,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]]",10100110101000010,1010011010100001
34,17,35,noise25,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]",2.0945,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]]",101001101010000111,10100110101000011
35,17,36,noise25,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",2.08042,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]]",101001101010000110,10100110101000011
36,18,37,noise11,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",2.08619,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]]",1010011010100001101,101001101010000110
37,18,38,noise11,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",2.08042,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]]",1010011010100001100,101001101010000110
38,19,39,corr4,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",2.07983,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]]",10100110101000011001,1010011010100001100
39,19,40,corr4,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",2.07513,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]]",10100110101000011000,1010011010100001100
40,20,41,noise19,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4', 'noise19']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",2.08895,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]]",101001101010000110001,10100110101000011000
41,20,42,noise19,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4', 'noise19']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",2.07645,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]]",101001101010000110000,10100110101000011000
