Experiment,Features
DL5MinDIZ,"['x10', 'x8', 'x2', 'x3', 'x5', 'x9', 'x6', 'noise40', 'x4', 'noise67', 'noise59', 'noise114', 'noise108', 'noise130', 'noise88', 'x7', 'noise14', 'noise10', 'noise78', 'noise90', 'noise2', 'noise98', 'noise13', 'noise106', 'corr2', 'noise68', 'noise104', 'noise83', 'corr5', 'noise61', 'noise110', 'noise102', 'noise23']"
DL6AvgSIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise93', 'noise133', 'x7', 'noise97', 'noise75', 'noise123', 'noise28', 'noise30', 'corr1', 'noise13', 'noise79', 'corr3', 'noise41', 'noise49', 'noise1', 'noise56', 'noise65', 'noise38', 'noise36', 'corr2', 'noise86', 'noise40', 'noise100', 'noise77']"
DL6AvgDIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise93', 'noise133', 'x7', 'noise97', 'noise75', 'noise123', 'noise28', 'noise30', 'corr1', 'noise13', 'noise61', 'noise39', 'noise76', 'noise79', 'noise52', 'noise41', 'noise1', 'noise108', 'corr4', 'noise36', 'corr2', 'noise86', 'noise40', 'noise77', 'noise113']"
DL6MinSIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise14', 'x5', 'x7', 'corr5', 'noise75', 'noise35', 'noise41', 'noise1', 'noise108', 'noise38', 'noise60', 'noise36', 'noise45', 'corr2', 'noise23', 'noise80', 'x4', 'noise40', 'noise77']"
DL6MinDIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise14', 'x5', 'x7', 'corr5', 'noise75', 'noise29', 'noise25', 'noise35', 'noise18', 'noise41', 'noise38', 'noise60', 'noise45', 'noise2', 'noise112', 'corr2', 'noise23', 'noise80', 'x4', 'noise86', 'noise77', 'noise113']"
DL7AvgSIZ,"['x10', 'x7', 'x8', 'x3', 'x9', 'x5', 'noise15', 'noise95', 'noise26', 'noise64', 'noise50', 'noise70', 'noise3', 'noise134', 'noise126', 'corr2', 'noise37', 'noise107', 'noise17', 'noise110', 'noise11', 'noise116', 'noise16', 'noise113', 'noise47', 'noise21', 'noise75', 'noise73', 'noise108', 'noise97']"
DL7AvgDIZ,"['x10', 'x7', 'x8', 'x3', 'x9', 'x5', 'noise15', 'noise95', 'noise3', 'noise12', 'noise126', 'corr2', 'noise119', 'noise80', 'noise117', 'noise107', 'noise17', 'noise87', 'noise60', 'noise105', 'noise11', 'corr3', 'noise130', 'noise83', 'noise113', 'noise115', 'noise65', 'noise36', 'noise30', 'noise47', 'noise75', 'noise73', 'noise97']"
DL7MinSIZ,"['x10', 'x7', 'x8', 'x4', 'corr1', 'x1', 'x3', 'x9', 'x5', 'noise95', 'noise88', 'noise111', 'noise100', 'noise126', 'noise86', 'noise117', 'noise105', 'noise11', 'noise16', 'noise115', 'noise98', 'noise20', 'noise69']"
DL7MinDIZ,"['x10', 'x7', 'x8', 'x4', 'corr1', 'x1', 'x3', 'x9', 'x5', 'noise95', 'noise88', 'noise111', 'noise100', 'noise12', 'noise126', 'noise119', 'noise107', 'noise1', 'noise105', 'noise11', 'corr3', 'noise116', 'noise16', 'noise115', 'noise98', 'noise36', 'noise23', 'noise20', 'noise108', 'noise92']"
DL8AvgSIZ,"['x10', 'x8', 'x2', 'x6', 'x5', 'noise124', 'x9', 'x3', 'corr4', 'noise13', 'corr5', 'noise111', 'noise46', 'x4', 'noise81', 'noise132', 'noise117', 'noise29', 'noise2', 'noise61', 'noise118', 'noise1', 'noise69', 'noise134', 'noise92', 'noise33', 'noise45', 'noise127', 'noise6', 'noise113', 'noise72', 'noise26', 'corr1', 'noise66', 'noise39', 'noise73']"
DL8AvgDIZ,"['x10', 'x8', 'x2', 'x6', 'x5', 'noise124', 'x9', 'x3', 'corr4', 'noise13', 'corr5', 'noise111', 'noise46', 'x4', 'noise81', 'noise132', 'noise117', 'noise29', 'noise41', 'noise2', 'noise61', 'noise118', 'noise95', 'noise126', 'noise1', 'noise79', 'noise92', 'noise86', 'noise116', 'noise58', 'noise33', 'noise72', 'noise129', 'noise26', 'noise66', 'noise96', 'noise39', 'noise73']"
DL8MinSIZ,"['x10', 'x1', 'x8', 'x2', 'x6', 'x7', 'x5', 'noise124', 'x9', 'x3', 'noise13', 'corr5', 'noise85', 'noise111', 'x4', 'noise81', 'noise117', 'noise99', 'noise61', 'noise118', 'noise95', 'noise69', 'noise11', 'noise134', 'noise33', 'noise45', 'noise63', 'noise6', 'noise38', 'noise72', 'noise26', 'corr1', 'noise96', 'noise36']"
DL8MinDIZ,"['x10', 'x1', 'x8', 'x2', 'x6', 'x7', 'x5', 'noise124', 'x9', 'x3', 'noise13', 'corr5', 'noise85', 'noise111', 'x4', 'noise81', 'noise117', 'noise99', 'noise61', 'noise118', 'noise95', 'noise126', 'noise69', 'noise11', 'noise115', 'noise55', 'noise86', 'noise112', 'noise33', 'noise45', 'noise6', 'noise113', 'noise72', 'noise26', 'corr1', 'noise96', 'noise108', 'noise73', 'noise49']"
DL9AvgSIZ,"['x6', 'noise118', 'x4', 'x1', 'x7', 'noise43', 'noise134', 'noise22', 'x8', 'noise111', 'noise120', 'noise2', 'noise110', 'noise44', 'noise95', 'noise6', 'noise119', 'noise21', 'noise107', 'corr2', 'noise53', 'noise122', 'noise129', 'noise93', 'noise89', 'noise70', 'noise4', 'x3']"
DL9AvgDIZ,"['x6', 'noise118', 'x4', 'x1', 'x7', 'noise43', 'noise134', 'noise22', 'x8', 'noise111', 'noise66', 'noise120', 'noise110', 'noise41', 'noise119', 'noise96', 'noise90', 'noise131', 'noise68', 'noise27', 'noise107', 'noise39', 'corr2', 'corr1', 'noise53', 'noise122', 'noise105', 'noise114', 'noise104', 'noise121', 'noise129', 'noise18', 'noise89', 'x3']"
DL9MinSIZ,"['x6', 'noise37', 'noise85', 'noise25', 'noise118', 'x4', 'noise24', 'x1', 'x7', 'noise134', 'noise22', 'x8', 'noise111', 'noise2', 'noise47', 'noise133', 'noise41', 'noise119', 'noise90', 'noise35', 'noise21', 'noise68', 'noise39', 'corr2', 'noise12', 'noise53', 'noise122', 'noise125', 'noise121', 'noise65', 'x3']"
DL9MinDIZ,"['x6', 'noise37', 'noise85', 'noise25', 'noise118', 'x4', 'noise24', 'x1', 'x7', 'noise134', 'noise22', 'x8', 'noise66', 'noise87', 'noise2', 'noise47', 'noise44', 'noise31', 'noise41', 'noise96', 'noise97', 'noise131', 'noise21', 'noise107', 'corr2', 'noise12', 'noise53', 'noise125', 'noise16', 'noise89', 'noise4', 'x3']"
DL10AvgSIZ,"['x10', 'x1', 'x8', 'noise60', 'x5', 'noise47', 'x2', 'noise123', 'x6', 'x3', 'x9', 'noise129', 'noise71', 'noise77', 'noise109', 'noise1', 'noise115', 'corr4', 'noise80', 'noise124', 'noise50']"
DL10AvgDIZ,"['x10', 'x1', 'x8', 'noise60', 'x5', 'noise47', 'x2', 'noise123', 'x6', 'x3', 'x9', 'noise129', 'noise71', 'noise21', 'noise8', 'noise122', 'noise30', 'noise86', 'noise115', 'corr4', 'noise98', 'noise124']"
DL10MinSIZ,"['x10', 'x1', 'x8', 'noise60', 'x7', 'x5', 'noise132', 'x4', 'x2', 'noise123', 'x6', 'x3', 'x9', 'noise66', 'noise129', 'noise71', 'noise21', 'noise77', 'noise67', 'noise1', 'noise131', 'noise24', 'noise19', 'noise97', 'noise119', 'noise30', 'noise86', 'noise120', 'noise112', 'noise53', 'noise126', 'noise95', 'noise98', 'noise14', 'noise118', 'noise44', 'noise11', 'noise45', 'noise72', 'noise103', 'noise38']"
DL10MinDIZ,"['x10', 'x1', 'x8', 'noise60', 'x5', 'noise47', 'noise132', 'x4', 'x2', 'noise123', 'x6', 'x3', 'x9', 'noise66', 'noise129', 'noise71', 'noise46', 'noise67', 'noise109', 'noise83', 'noise1', 'noise29', 'noise131', 'noise97', 'noise107', 'noise122', 'noise30', 'noise105', 'noise70', 'noise104', 'noise120', 'noise112', 'noise53', 'noise85', 'noise126', 'noise95', 'corr4', 'noise79', 'noise22', 'noise124', 'noise44', 'noise17', 'noise11', 'noise45', 'noise72', 'noise38']"
DS_GA1,"['x1', 'x2', 'x3', 'noise2', 'noise4', 'noise5', 'noise6', 'noise8']"
DS_GA2,"['x1', 'x2', 'x3', 'corr2', 'noise3', 'noise7']"
DS_GA3,"['x1', 'x2', 'x3', 'corr1', 'noise1', 'noise4', 'noise10']"
DS_GA4,"['x1', 'x2', 'x3', 'corr1', 'noise5', 'noise6', 'noise10']"
DS_GA5,"['x1', 'x2', 'x3', 'noise1', 'noise2', 'noise8', 'noise9']"
DS_GA6,"['x1', 'x2', 'x3', 'corr1', 'noise5', 'noise10']"
DS_GA7,"['x1', 'x2', 'x3', 'noise4', 'noise5', 'noise7']"
DS_GA8,"['x1', 'x2', 'x3', 'corr2', 'noise3', 'noise4', 'noise8', 'noise9']"
DS_GA9,"['x1', 'x2', 'x3', 'noise4', 'noise6', 'noise9', 'noise10']"
DS_GA10,"['x1', 'x2', 'x3', 'corr2', 'noise2', 'noise3', 'noise5', 'noise6', 'noise7', 'noise8', 'noise10']"
DM_GA1,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'corr2', 'noise11', 'noise13', 'noise15', 'noise16', 'noise18', 'noise19', 'noise24', 'noise32', 'noise35', 'noise37', 'noise38', 'noise39', 'noise41', 'noise42', 'noise43', 'noise45']"
DM_GA2,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'corr3', 'noise1', 'noise4', 'noise9', 'noise14', 'noise18', 'noise19', 'noise20', 'noise23', 'noise27', 'noise34', 'noise36', 'noise38', 'noise39', 'noise40', 'noise43', 'noise50']"
DM_GA3,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'noise3', 'noise6', 'noise7', 'noise12', 'noise14', 'noise15', 'noise20', 'noise26', 'noise28', 'noise35', 'noise37', 'noise44', 'noise45', 'noise48', 'noise50']"
DM_GA4,"['x1', 'x2', 'x3', 'x4', 'x6', 'corr3', 'noise7', 'noise12', 'noise13', 'noise15', 'noise18', 'noise19', 'noise22', 'noise23', 'noise32', 'noise38', 'noise41', 'noise42', 'noise45']"
